lith_word_studied,eng_word_studied,participant_id,delay_group,study1_start,study2_start,study3_start,study4_start,study5_start,jol_start,recall_start,jol_value,eng_word_response,recall_accuracy,study_test_lag
pastatas,building,A1,A,1461597222,1461598097,1461598653,1461599383,1461599951,1461600711,1461601222,100,building,1,21.18333333
mesa,meat,A1,A,1461597234,1461598070,1461598710,1461599353,1461599975,1461600707,1461601232,100,meat,1,20.95
kreida,chalk,A1,A,1461597248,1461598054,1461598669,1461599403,1461599965,1461600699,1461601238,75,sword,0,21.21666667
bugnas,drum,A1,A,1461597262,1461598085,1461598683,1461599393,1461599985,1461600719,1461601235,100,drum,1,20.83333333
muilas,soap,A1,A,1461597274,1461598111,1461598700,1461599369,1461599995,1461600716,1461601249,100,soap,1,20.9
rusys,basement,A1,A,1461597290,1461598153,1461598750,1461599446,1461600023,1461600722,1461601254,100,basement,1,20.51666667
mokykla,school,A1,A,1461597304,1461598165,1461598778,1461599470,1461600060,1461600733,1461601268,100,school,1,20.13333333
dirzas,belt,A1,A,1461597320,1461598175,1461598762,1461599417,1461600011,1461600735,1461601274,100,belt,1,21.05
pupa,bean,A1,A,1461597332,1461598125,1461598722,1461599458,1461600036,1461600728,1461601278,100,bean,1,20.7
nafta,oil,A1,A,1461597349,1461598139,1461598736,1461599430,1461600050,1461600725,1461601271,100,oil,1,20.35
sausainis,cookie,A1,A,1461597359,1461598232,1461598849,1461599522,1461600106,1461600749,1461601285,77,cookie,1,19.65
purvas,dirt,A1,A,1461597369,1461598242,1461598817,1461599510,1461600116,1461600752,1461601291,95,dirt,1,19.58333333
traukinys,train,A1,A,1461597379,1461598187,1461598790,1461599482,1461600084,1461600746,1461601280,86,train,1,19.93333333
arbata,tea,A1,A,1461597389,1461598204,1461598833,1461599532,1461600070,1461600740,1461601282,100,tea,1,20.2
smuikas,violin,A1,A,1461597405,1461598220,1461598806,1461599498,1461600096,1461600742,1461601294,73,violin,1,19.96666667
burna,mouth,A1,A,1461597421,1461598317,1461598891,1461599597,1461600185,1461600758,1461601304,94,mouth,1,18.65
daina,song,A1,A,1461597431,1461598300,1461598861,1461599583,1461600173,1461600767,1461601320,73,song,1,19.11666667
zele,jelly,A1,A,1461597447,1461598284,1461598917,1461599547,1461600159,1461600764,1461601300,77,jelly,1,19.01666667
kriaukle,sink,A1,A,1461597458,1461598268,1461598901,1461599557,1461600130,1461600761,1461601309,74,unsure,0,19.65
kamuolys,ball,A1,A,1461597468,1461598252,1461598875,1461599569,1461600145,1461600756,1461601325,76,unsure,0,19.66666667
gelezis,iron,A1,A,1461597478,1461598389,1461598990,1461599656,1461600251,1461600770,1461601358,65,unsure,0,18.45
kardas,sword,A1,A,1461597494,1461598329,1461598980,1461599672,1461600241,1461600782,1461601371,56,unsure,0,18.83333333
tiltas,bridge,A1,A,1461597508,1461598373,1461598950,1461599639,1461600199,1461600779,1461601378,52,bridge,1,19.65
smegenys,brain,A1,A,1461597518,1461598357,1461598966,1461599625,1461600225,1461600776,1461601343,53,unsure,0,18.63333333
sesuo,sister,A1,A,1461597534,1461598343,1461598933,1461599609,1461600213,1461600773,1461601338,66,sister,1,18.75
padazas,gravy,A1,A,1461597550,1461598399,1461599026,1461599684,1461600304,1461600796,1461601449,63,unsure,0,19.08333333
plyta,brick,A1,A,1461597563,1461598427,1461599010,1461599716,1461600320,1461600785,1461601389,76,bread,0,17.81666667
lova,bed,A1,A,1461597575,1461598448,1461599040,1461599728,1461600264,1461600788,1461601387,87,bed,1,18.71666667
upe,river,A1,A,1461597589,1461598413,1461599000,1461599704,1461600276,1461600794,1461601446,86,river,1,19.5
kirvis,axe,A1,A,1461597599,1461598438,1461599055,1461599694,1461600292,1461600791,1461601436,73,sword,0,19.06666667
kunigas,priest,A1,A,1461597613,1461598506,1461599075,1461599801,1461600358,1461600803,1461601454,55,unsure,0,18.26666667
